Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared,Price
2018,Nissan,Rogue,161771,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,6100
2018,Honda,CR-V,64373,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6500
2010,Toyota,Camry,222894,Սեդան,Ավտոմատ,Ձախ,Բենզին,Ոսկեգույն,Մաքսազերծված,9700
2021,Kia,K5,31884,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,10500
2019,BMW,X5,44403,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,49000
2017,Mercedes-Benz,GLE 43 AMG,164700,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,37000
2022,Mercedes-Benz,C 300,4166,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,28500
2017,Mercedes-Benz,C 300,59827,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,9500
2018,Honda,Accord,70000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,24200
2017,Hyundai,Elantra,57936,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Մաքսազերծված,14000
2018,Kia,Stinger,60000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,12000
2019,Land,Rover Range Rover Velar,49777,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,88000
2010,Lexus,ES 350,129000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Մաքսազերծված,17680
2016,BMW,X5,122823,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,37700
2017,Land,Rover Range Rover Evoque,104100,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,16500
2019,BMW,X3,18246,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,9300
2018,Porsche,Panamera,27931,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,25100
2017,Hyundai,Sonata,118463,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,13000
2019,Honda,CR-V,18247,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,12300
2016,Hyundai,Tucson,22739,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,4500
2017,Volkswagen,Jetta,55723,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,3800
2016,Nissan,Pathfinder,25000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,4300
2019,Infiniti,QX50,18624,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,9500
2021,Hyundai,Sonata,18234,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,10100
2017,Volkswagen,Jetta,143157,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,2600
2019,Toyota,Rav 4,18324,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,7300
1994,Mitsubishi,Pajero,50000,Ամենագնաց,Մեխանիկական,Ձախ,Բենզին,Արծաթագույն,Մաքսազերծված,10500
2019,Toyota,Corolla,19347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5100
2017,Honda,Civic,19688,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,4500
2018,Ford,Escape,146456,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,6200
2019,Nissan,Versa,91732,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,4100
2019,Lincoln,Continental,61959,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,16750
2021,Mercedes-Benz,EQS,8000,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,145000
2016,Lexus,LX 570,98000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,105000
2017,Lexus,NX 200t,112654,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,8200
2018,Toyota,Rav 4,305775,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,6250
2018,Lexus,RX 350,102676,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Բեժ,մաքսազերծված չ,20000
2020,Hyundai,Santa Fe,18247,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,8100
2018,Kia,Forte,75639,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,3200
2020,Toyota,Camry,84683,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,8200
2019,Lexus,RX 350,18347,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,17700
2008,Volkswagen,Touareg,189902,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Վարդագույն,Մաքսազերծված,13700
2022,Hyundai,Venue,5116,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,8200
2017,Ford,Edge,129439,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,11900
2019,Ford,Ecosport,76282,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4600
2016,Mazda,3,23716,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,2300
2017,Lexus,ES 350,23914,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,15200
2017,Nissan,Rogue,23914,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4100
2017,Mercedes-Benz,E 200,100000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,45000
2016,Kia,Sorento,25000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,4500
2019,Mitsubishi,Outlander,10,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5500
2020,Toyota,Rav 4,34705,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,14000
2019,Mazda,CX5,18374,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,6500
2016,Chrysler,200,138403,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,13900
2017,Hyundai,Veloster,53217,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,2700
2014,Mercedes-Benz,C 180,140000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,28000
2016,Ford,Explorer,23914,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,5300
2020,Kia,Sorento,51416,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,17200
2006,Kia,Sorento,209214,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Կապույտ,Մաքսազերծված,7000
2017,Audi,A6,21835,Սեդան,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,մաքսազերծված չ,7200
2019,Chevrolet,Malibu,39163,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,9500
2019,Toyota,C-HR,18354,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,6600
2017,Chevrolet,Cruze,22741,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,2800
2017,Lexus,IS 300,85517,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,14500
2018,Mercedes-Benz,C 300,19347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,10500
2018,BMW,320,114469,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7500
2017,Honda,Accord,85000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7500
2017,Hyundai,Elantra,22931,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3100
2017,Hyundai,Sonata,19925,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,3100
2021,BMW,420,8861,Կուպե,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,18000
2012,Mazda,5,141622,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,7300
2021,Toyota,Tundra,53430,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,23000
2016,Kia,Forte,225308,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,11700
2021,Hyundai,Elantra,41418,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,11500
2017,Volkswagen,Golf,48924,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,6500
2018,Toyota,C-HR,19357,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5700
2018,Nissan,Rogue,19312,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4050
2021,Honda,Pilot,30577,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,14500
2016,Ford,Fusion,22947,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,2500
2020,Kia,Rio,18345,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,2100
2020,Lexus,RX 350,18347,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,18400
2017,Kia,Sorento,20834,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4500
2020,Mazda,6,57659,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,8500
2017,Infiniti,Q50,78777,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,4800
2017,Jeep,Grand Cherokee,114263,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7400
2016,Mercedes-Benz,CLA 250,23845,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,6100
2020,Lexus,ES 300h,8803,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,27000
2016,Mazda,CX5,24100,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,4000
2019,Ford,Fusion,18257,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4500
2019,Ford,F150,18324,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,12300
2017,Ford,Taurus,23914,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6500
2018,Tesla,Model 3,23174,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,17000
2017,Hyundai,Santa Fe,24870,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,5600
2020,Nissan,Sentra,73056,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6700
2016,Hyundai,Sonata,124019,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,9500
2018,Mitsubishi,Outlander,88418,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,5900
2019,BMW,X5,66034,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,39000
2020,Ford,Mustang,30000,Կուպե,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,70000
2017,Ford,Focus,80000,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,2500
2018,Acura,RDX,19387,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,8700
2019,Kia,Optima,19347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4500
2000,Volkswagen,Passat,240000,Սեդան,Մեխանիկական,Ձախ,Գազ,Արծաթագույն,Մաքսազերծված,5000
2019,Mercedes-Benz,G 63 AMG,19500,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,305000
2019,Nissan,Sentra,24300,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,3100
2016,Mini,Cooper,62674,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,6800
2010,Kia,Forte Coupe,288072,Սեդան,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,Մաքսազերծված,8300
2020,Mazda,CX5,70811,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,10000
2017,Kia,Sorento,21934,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5100
2019,Mercedes-Benz,C 450,40899,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,19000
2020,Kia,Forte,17354,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,3500
2018,Mercedes-Benz,C 300,19347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,9900
2018,Chevrolet,Impala,19634,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,2200
2016,Mercedes-Benz,C 300,23196,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,7100
2021,Mazda,3,22000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,60000
2017,Mazda,6,10943,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կարմիր,Մաքսազերծված,15500
2019,Nissan,Sentra,88513,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5100
